round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,CT,t_killed,True,cs2,de_nuke,success
3,CT,t_killed,True,cs2,de_nuke,success
4,T,ct_killed,True,cs2,de_nuke,success
5,CT,bomb_defused,True,cs2,de_nuke,success
6,T,bomb_exploded,True,cs2,de_nuke,success
7,T,ct_killed,True,cs2,de_nuke,success
8,T,ct_killed,True,cs2,de_nuke,success
9,T,ct_killed,True,cs2,de_nuke,success
10,CT,t_killed,True,cs2,de_nuke,success
11,T,ct_killed,True,cs2,de_nuke,success
12,CT,t_killed,True,cs2,de_nuke,success
13,CT,time_ran_out,True,cs2,de_nuke,success
14,T,ct_killed,True,cs2,de_nuke,success
15,T,ct_killed,True,cs2,de_nuke,success
16,T,ct_killed,True,cs2,de_nuke,success
17,CT,t_killed,True,cs2,de_nuke,success
18,T,bomb_exploded,True,cs2,de_nuke,success
19,CT,t_killed,True,cs2,de_nuke,success
20,CT,t_killed,True,cs2,de_nuke,success
21,CT,t_killed,True,cs2,de_nuke,success
22,T,ct_killed,True,cs2,de_nuke,success
23,CT,time_ran_out,True,cs2,de_nuke,success
24,CT,t_killed,True,cs2,de_nuke,success
