feature,importance
equipment_advantage,0.28209859841660745
ct_total_armor,0.1978001075795091
t_equipment_value,0.12380918098199169
ct_equipment_value,0.10739956191498354
t_total_armor,0.10194229189438692
t_total_hp,0.04232309296369767
ct_total_hp,0.03447395994470525
t_avg_hp,0.0232169169207956
round_time_remaining,0.022351753477831523
player_count_advantage,0.014636366685761425
ct_avg_hp,0.011433085349995865
time_phase,0.010891812313653302
time_since_plant,0.007205555081339176
ct_awp_count,0.005647089843973354
ct_rifle_count,0.00557706449173291
rifle_advantage,0.00254721649090665
ct_players_alive,0.0021635099194447028
t_players_alive,0.0017512325040195658
t_awp_count,0.0017237066956115859
awp_advantage,0.0004904691219523219
bomb_planted,0.0003627865486418767
t_rifle_count,0.00015464085845812395
