assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,match_id,weapon_category,damage_efficiency,kill_effectiveness,time_period
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,21.152761,29,60,0,True,head,False,False,0,0,False,14314,spamzzy,76561198003724030,usp_silencer,17293822569123217469,46208270198.0,,0,aether-vs-full-send-m1-mirage,Pistol,0.6741573033707865,0.5490282200038181,Early
False,No Assist,0.0,Majesticzz,7.656119814480195e+16,False,False,11.125434,0,141,0,True,head,False,False,0,0,False,14607,sathsea,76561198401647782,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,1.0,0.8804942549685231,Early
False,No Assist,0.0,Majesticzz,7.656119814480195e+16,False,False,14.725949,0,141,0,True,head,False,False,0,0,False,14672,juna,76561198366358433,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,1.0,0.87671783343568,Early
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,38.54454,0,75,0,True,head,False,False,1,0,False,15054,micro,76561198072040762,galilar,17293822569102704653,0.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,1.0,0.6050575882283623,Early
False,sathsea,7.656119840164778e+16,wasteyute,7.656119937319629e+16,False,False,10.705827,5,25,0,False,chest,False,False,0,0,False,18796,Majesticzz,76561198144801954,m4a1_silencer,17293822569190391868,45988055989.0,,0,aether-vs-full-send-m1-mirage,M4,0.8333333333333334,0.11708550792694955,Early
False,No Assist,0.0,spamzzy,7.656119800372403e+16,False,False,3.9292605,13,92,0,True,head,False,False,0,0,False,19012,wasteyute,76561199373196281,galilar,17293822569102704653,0.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,0.8761904761904762,0.7085740374240721,Early
False,wasteyute,7.656119937319629e+16,micro,7.656119807204077e+16,False,False,29.673943,4,23,0,False,left_arm,False,False,0,0,False,19053,spamzzy,76561198003724030,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8518518518518519,0.09852019207312214,Early
False,wasteyute,7.656119937319629e+16,juna,7.656119836635843e+16,False,False,20.821836,6,30,0,False,stomach,False,False,0,0,False,19124,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8333333333333334,0.12916513165986582,Early
False,juna,7.656119836635843e+16,micro,7.656119807204077e+16,False,False,29.035294,13,63,0,True,head,False,False,1,0,False,19234,a_m_c,76561198804371130,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8289473684210527,0.5586588327718717,Early
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,25.654512,17,82,0,True,head,False,False,0,0,False,19547,CULIACAN,76561198166020071,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8282828282828283,0.6355034200588628,Early
False,No Assist,0.0,spamzzy,7.656119800372403e+16,False,False,3.730082,3,23,0,False,left_arm,False,False,0,0,True,23654,micro,76561198072040762,galilar,17293822569122168845,42935343253.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,0.8846153846153846,0.23428256508026715,Early
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,20.7729,15,108,0,True,head,False,False,0,0,True,23921,4TAYLOR,76561198852710277,ak47,17293822569181806599,43808342240.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8780487804878049,0.8411857308856422,Early
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,20.249708,15,108,0,True,head,False,False,0,0,True,24024,spamzzy,76561198003724030,ak47,17293822569181806599,43808342240.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8780487804878049,0.8414118940363792,Early
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,5.7316113,0,128,0,True,head,False,False,0,0,False,24065,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,1.0,0.8417105687014341,Early
