site,tick,user_name,user_steamid,event_type,match_id
382,38182,---Beast,76561198057153682,planted,incontrol-vs-nocturnal-m3-nuke
319,43916,1TyRa,76561198837643069,planted,incontrol-vs-nocturnal-m3-nuke
319,53152,calamity,76561198882807602,planted,incontrol-vs-nocturnal-m3-nuke
319,79768,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m3-nuke
319,86255,madss,76561198174431453,planted,incontrol-vs-nocturnal-m3-nuke
319,97570,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m3-nuke
382,126537,gadflyy,76561198034937989,planted,incontrol-vs-nocturnal-m3-nuke
382,137027,violet_,76561198103629138,planted,incontrol-vs-nocturnal-m3-nuke
319,18502,torii,76561198047444847,defused,incontrol-vs-nocturnal-m3-nuke
382,26231,Scorchyy,76561198173968051,exploded,incontrol-vs-nocturnal-m3-nuke
319,100194,lunari,76561198264316850,exploded,incontrol-vs-nocturnal-m3-nuke
322,85702,madss,76561198174431453,planted,incontrol-vs-nocturnal-m2-train
323,121371,violet_,76561198103629138,planted,incontrol-vs-nocturnal-m2-train
323,128044,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m2-train
322,133934,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m2-train
323,141359,torii,76561198047444847,planted,incontrol-vs-nocturnal-m2-train
322,161610,1TyRa,76561198837643069,planted,incontrol-vs-nocturnal-m2-train
322,169251,Scorchyy,76561198173968051,planted,incontrol-vs-nocturnal-m2-train
323,178644,1TyRa,76561198837643069,planted,incontrol-vs-nocturnal-m2-train
322,186581,---Beast,76561198057153682,planted,incontrol-vs-nocturnal-m2-train
322,86400,1TyRa,76561198837643069,defused,incontrol-vs-nocturnal-m2-train
323,121867,Scorchyy,76561198173968051,defused,incontrol-vs-nocturnal-m2-train
322,163926,lunari,76561198264316850,defused,incontrol-vs-nocturnal-m2-train
322,171638,gadflyy,76561198034937989,defused,incontrol-vs-nocturnal-m2-train
322,189205,---Beast,76561198057153682,exploded,incontrol-vs-nocturnal-m2-train
