site,tick,user_name,user_steamid,event_type
429,5010,jayketh,76561198197327995,planted
429,43619,Nightraid,76561198862368967,planted
429,86634,SaVage,76561198163665188,planted
366,104580,ADDICT,76561198067762481,planted
429,44619,keen,76561198014912532,defused
429,87585,jayketh,76561198197327995,defused
366,107204,ADDICT,76561198067762481,exploded
