,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
Cluster 0,50.2,50.75,3.082135276144564,46.73065978263376,264616.29367443005,72.95,278.25,258.85,28308.675144781144,12.0,3.9,0.5500000000000002,0.04999999999999999,7123.7,304.7957644927536,3.2,0.75
Cluster 1,22.699999999999996,22.699999999999992,2.329826007326007,60.16311612364244,112830.17276211364,31.099999999999994,65.30000000000001,72.3,19498.356617647056,5.9,1.1,0.20000000000000007,0.10000000000000002,3168.6,180.95653594771244,1.1999999999999997,0.4000000000000001
